epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1272.93,1.65632,1.18226,1.41702,0.69793,0.58421,0.54947,0.29443,1.76511,0.99517,1.59155,0.000378829,0.000378829,0.000378829
43,1302.44,1.72301,1.17469,1.39976,0.65983,0.65293,0.60758,0.34752,1.73085,0.97041,1.5863,0.000369312,0.000369312,0.000369312
44,1331.85,1.60755,1.16904,1.40396,0.73892,0.58043,0.69201,0.42383,1.72106,0.99305,1.55303,0.000359796,0.000359796,0.000359796
45,1361.37,1.69718,1.16853,1.38861,0.72416,0.59855,0.65561,0.39198,1.69233,0.94657,1.55326,0.00035028,0.00035028,0.00035028
46,1390.97,1.61599,1.15495,1.40171,0.51354,0.73317,0.59951,0.36061,1.74567,1.00186,1.58856,0.000340763,0.000340763,0.000340763
47,1420.12,1.56714,1.12925,1.4048,0.60878,0.52263,0.57246,0.34878,1.73951,0.98616,1.5933,0.000331247,0.000331247,0.000331247
48,1449.45,1.58969,1.12593,1.39241,0.61392,0.73516,0.67283,0.38312,1.74895,0.94551,1.59059,0.00032173,0.00032173,0.00032173
49,1478.74,1.51591,1.11295,1.38492,0.76555,0.55135,0.71769,0.36089,1.72795,0.95822,1.56828,0.000312214,0.000312214,0.000312214
50,1508.12,1.60695,1.09749,1.35947,0.71013,0.59711,0.60679,0.34364,1.73609,0.97709,1.56041,0.000302698,0.000302698,0.000302698
51,1538.14,1.53935,1.07754,1.37001,0.74237,0.63985,0.64211,0.36264,1.75199,0.96647,1.59211,0.000293181,0.000293181,0.000293181
52,1567.78,1.59355,1.07386,1.34222,0.77176,0.60464,0.6129,0.34313,1.73438,0.94573,1.58031,0.000283665,0.000283665,0.000283665
53,1597.36,1.58604,1.05876,1.33982,0.79204,0.57412,0.58628,0.34268,1.72512,0.95671,1.54087,0.000274148,0.000274148,0.000274148
54,1627.02,1.54595,1.06446,1.33859,0.81124,0.77903,0.78422,0.42198,1.75195,0.93626,1.58851,0.000264632,0.000264632,0.000264632
55,1657.14,1.55415,1.02759,1.35187,0.72424,0.58977,0.57545,0.3357,1.70504,0.94664,1.55367,0.000255116,0.000255116,0.000255116
56,1686.55,1.52099,1.01833,1.33192,0.57152,0.78087,0.73325,0.41345,1.70932,0.91162,1.55469,0.000245599,0.000245599,0.000245599
57,1716.16,1.53958,1.00645,1.30843,0.5575,0.63064,0.60807,0.35972,1.70014,0.92984,1.54168,0.000236083,0.000236083,0.000236083
58,1746.11,1.50171,0.99531,1.32453,0.69616,0.65918,0.62355,0.35721,1.71955,0.90672,1.55543,0.000226567,0.000226567,0.000226567
59,1775.83,1.51816,0.99979,1.32578,0.80356,0.54841,0.59414,0.35037,1.72388,0.90174,1.54762,0.00021705,0.00021705,0.00021705
60,1805.13,1.48185,0.96344,1.31412,0.81562,0.6045,0.62095,0.3641,1.73284,0.90702,1.57557,0.000207534,0.000207534,0.000207534
61,1834.5,1.52343,0.99037,1.31225,0.72637,0.61964,0.63176,0.34197,1.76452,0.91314,1.59594,0.000198018,0.000198018,0.000198018
62,1863.92,1.55002,0.98832,1.30081,0.72848,0.62034,0.61962,0.36977,1.71034,0.88802,1.55665,0.000188501,0.000188501,0.000188501
63,1893.86,1.51391,0.97139,1.32017,0.76853,0.73889,0.74337,0.38881,1.70607,0.90193,1.55617,0.000178985,0.000178985,0.000178985
64,1923.01,1.47686,0.95345,1.29594,0.69691,0.6377,0.63079,0.3582,1.73047,0.89359,1.58633,0.000169468,0.000169468,0.000169468
65,1952.64,1.46929,0.94046,1.28432,0.84052,0.63071,0.63888,0.38322,1.69007,0.88132,1.55573,0.000159952,0.000159952,0.000159952
66,1981.78,1.46413,0.93948,1.28446,0.84297,0.6351,0.62827,0.35331,1.73659,0.90187,1.59828,0.000150436,0.000150436,0.000150436
67,2010.99,1.42928,0.92785,1.28087,0.76508,0.64697,0.57987,0.35316,1.69916,0.8802,1.57257,0.000140919,0.000140919,0.000140919
68,2040.12,1.43952,0.89858,1.26749,0.69813,0.6395,0.62809,0.35398,1.70472,0.90554,1.56075,0.000131403,0.000131403,0.000131403
69,2068.99,1.43314,0.91217,1.27845,0.57974,0.65224,0.57844,0.34272,1.69158,0.90093,1.5624,0.000121887,0.000121887,0.000121887
70,2098.21,1.39766,0.88729,1.27629,0.54643,0.63037,0.59588,0.35669,1.70223,0.87338,1.56582,0.00011237,0.00011237,0.00011237
71,2129.57,1.3436,0.83109,1.3056,0.80643,0.63378,0.61188,0.37016,1.67388,0.86357,1.55871,0.000102854,0.000102854,0.000102854
72,2158.04,1.29344,0.75553,1.28558,0.76422,0.65615,0.61453,0.36083,1.71238,0.86348,1.58848,9.33374e-05,9.33374e-05,9.33374e-05
73,2186.79,1.32526,0.77998,1.278,0.61251,0.654,0.62646,0.36369,1.69285,0.85752,1.57805,8.3821e-05,8.3821e-05,8.3821e-05
74,2215.6,1.29512,0.74973,1.27726,0.79645,0.65067,0.61175,0.3703,1.68995,0.84787,1.58364,7.43046e-05,7.43046e-05,7.43046e-05
75,2245.02,1.30581,0.74685,1.28574,0.84467,0.62973,0.62785,0.3662,1.67832,0.85593,1.57541,6.47882e-05,6.47882e-05,6.47882e-05
76,2274.54,1.26563,0.73603,1.2549,0.75982,0.65923,0.62397,0.36026,1.66582,0.85653,1.56239,5.52719e-05,5.52719e-05,5.52719e-05
77,2303.81,1.27774,0.72843,1.23488,0.78686,0.6112,0.59952,0.35266,1.69351,0.86855,1.58991,4.57555e-05,4.57555e-05,4.57555e-05
78,2332.7,1.29569,0.75181,1.26087,0.74255,0.64603,0.63596,0.36549,1.67796,0.85176,1.57675,3.62391e-05,3.62391e-05,3.62391e-05
79,2361.79,1.2778,0.72002,1.23744,0.79149,0.61271,0.6362,0.36198,1.68927,0.84226,1.58533,2.67228e-05,2.67228e-05,2.67228e-05
80,2390.55,1.24497,0.70801,1.24149,0.751,0.64994,0.62823,0.36414,1.68578,0.83908,1.58556,1.72064e-05,1.72064e-05,1.72064e-05
